,,, ,Wheel 1,,,,Wheel 2,,,
Run,Previous Best,Recorded Time,Evolutions,Size,Max Speed,Max Torque,Damping Ratio,Size,Max Speed,Max Torque,Damping Ratio
0,01:00.000,00:00.000,0,0.4,-30,30,2.5,0.4,-30,30,2.5
1,00:17.802,00:17.802,1,0.4,-30,30,2.5,0.4,-30,65.61,2.5
2,00:16.659,00:16.659,2,0.4,-99.43,89.58,2.5,0.4,-30,65.61,2.5
3,00:16.659,00:33.329,2,0.59,-99.43,89.58,2.5,0.4,-30,65.61,5.45
4,00:16.659,00:33.331,2,0.59,-99.43,24.62,2.5,0.4,-96.94,65.61,5.45
5,00:16.659,00:33.327,2,0.59,-99.43,7.88,3.36,0.4,-96.94,65.61,5.45
6,00:16.659,00:33.326,2,0.33,-99.43,7.88,3.36,0.4,-96.94,6.44,5.45
7,00:16.659,00:33.334,2,0.33,-192.56,7.88,3.71,0.4,-96.94,6.44,5.45
8,00:16.659,00:33.323,2,0.33,-192.56,7.88,3.71,0.4,-96.94,85.12,2.38
9,00:16.659,00:33.320,2,0.33,-192.56,56.78,3.71,0.51,-96.94,85.12,2.38
10,00:16.659,00:33.320,2,0.33,-192.56,93.9,3.71,0.51,-96.94,83.84,2.38
11,00:16.659,00:33.330,2,0.32,-176.62,93.9,3.71,0.51,-96.94,83.84,2.38
0,01:00.000,00:00.000,0,0.4,-30,47.95,2.5,0.27,-30,30,2.5
12,00:16.659,00:33.324,2,0.32,-26.37,93.9,3.71,0.51,-96.94,13.32,2.38
14,00:16.659,00:33.321,2,0.32,-26.37,60.78,3.71,0.31,-96.94,13.32,2.38
15,00:16.659,00:33.322,2,0.53,-26.37,60.78,3.71,0.58,-96.94,13.32,2.38
16,00:16.659,00:33.330,2,0.53,-26.37,60.78,3.71,0.58,-96.94,75.54,2.38
17,00:16.659,00:33.334,2,0.53,-26.37,13.73,3.71,0.58,-124.48,75.54,2.38
18,00:16.659,00:33.333,2,0.64,-26.37,13.73,3.71,0.07,-124.48,75.54,2.38
19,00:16.659,00:33.324,2,0.64,-26.37,13.73,6.38,0.07,-124.48,75.54,5.36
20,00:16.659,00:33.324,2,0.64,-40.93,13.73,6.38,0.07,-124.48,75.54,6.05
21,00:16.659,00:33.335,2,0.64,-40.93,40.16,6.38,0.07,-142.95,75.54,6.05
13,01:00.000,02:00.000,0,0.4,-120.42,47.95,2.5,0.27,-30,30,6.98
22,00:16.659,00:33.320,2,0.64,-40.93,40.16,2.98,0.07,-142.95,57.59,6.05
24,00:16.659,00:33.320,2,0.64,-104.19,40.16,5.99,0.07,-142.95,57.59,6.05
25,00:16.659,00:33.323,2,0.64,-124.37,40.16,5.99,0.07,-24.18,57.59,6.05
26,00:16.659,00:33.324,2,0.64,-124.37,40.16,4.28,0.07,-72.22,57.59,6.05
27,00:16.659,00:33.328,2,0.64,-124.37,40.16,4.28,0.81,-72.22,57.59,6.05
28,00:16.659,00:33.336,2,0.64,-124.37,79.8,4.28,0.81,-72.22,58.09,6.05
29,00:16.659,00:33.324,2,0.64,-124.37,79.8,6.42,0.81,-72.22,58.09,2.82
30,00:16.659,00:33.319,2,0.64,-124.37,79.8,6.42,0.39,-48.39,58.09,2.82
31,00:16.659,00:33.320,2,0.64,-124.37,60.06,6.42,0.39,-48.39,58.09,1.79
23,01:00.000,02:00.500,0,0.4,-120.42,72.76,2.5,0.27,-30,30,1.56
32,00:16.659,00:33.334,2,0.64,-124.37,60.06,8.31,0.39,-84.16,58.09,1.79
34,00:16.659,00:33.329,2,0.44,-124.37,60.06,1.36,0.39,-84.16,58.09,1.79
35,00:16.659,00:33.330,2,0.44,-124.37,60.06,1.36,0.55,-84.16,34.43,1.79
36,00:16.659,00:33.321,2,0.44,-124.37,60.06,1.36,0.55,-178.05,34.43,1.79
37,00:16.659,00:33.323,2,0.44,-124.37,60.06,1.36,0.56,-154.31,34.43,1.79
38,00:16.659,00:33.319,2,0.44,-124.37,69.5,1.36,0.26,-154.31,34.43,1.79
39,00:16.659,00:33.333,2,0.15,-24.07,69.5,1.36,0.26,-154.31,34.43,1.79
40,00:16.659,00:33.332,2,0.15,-26.58,49.65,1.36,0.26,-154.31,34.43,1.79
41,00:16.659,00:33.321,2,0.15,-26.58,49.65,1.36,0.6,-154.31,65.57,1.79
33,01:00.000,02:00.200,0,0.4,-120.42,72.76,2.5,0.32,-30,52.69,1.56
42,00:16.659,00:33.325,2,0.15,-26.58,49.65,3.57,0.29,-154.31,65.57,1.79
44,00:16.659,00:33.331,2,0.15,-26.58,79.88,3.57,0.29,-154.31,17.07,1.79
45,00:16.659,00:33.331,2,0.32,-26.58,6.43,3.57,0.29,-154.31,17.07,1.79
46,00:16.659,00:33.335,2,0.32,-26.58,6.43,3.57,0.29,-154.31,95.93,6.42
47,00:16.659,00:33.320,2,0.77,-26.58,6.43,3.57,0.29,-154.31,24.47,6.42
48,00:16.659,00:33.327,2,0.77,-26.58,6.43,3.57,0.29,-54.09,0.72,6.42
49,00:16.659,00:33.335,2,0.77,-26.58,84.16,3.57,0.29,-54.09,34.3,6.42
50,00:16.659,00:33.323,2,0.77,-26.58,84.16,3.57,0.29,-175.91,90.57,6.42
51,00:16.659,00:33.329,2,0.77,-26.58,84.16,3.57,0.29,-175.91,72.86,7.33
43,01:00.000,02:00.100,0,0.4,-120.42,12.32,2.5,0.32,-30,52.69,1.56
52,00:16.659,00:33.321,2,0.77,-26.58,84.16,8.77,0.29,-81.78,72.86,7.33
54,00:16.659,00:33.324,2,0.77,-26.58,84.16,8.77,0.33,-81.78,72.86,7.33
55,00:16.659,00:33.323,2,0.77,-128.7,84.16,8.77,0.33,-81.78,72.86,2.28
56,00:16.659,00:33.333,2,0.77,-128.7,84.16,8.77,0.33,-162.95,72.86,5.29
57,00:16.659,00:33.325,2,0.77,-128.7,84.16,3.38,0.33,-162.95,72.86,7.51
58,00:16.659,00:33.322,2,0.77,-128.7,84.16,3.38,0.33,-162.95,1.32,7.51
59,00:16.659,00:33.334,2,0.77,-128.7,84.16,3.38,0.91,-162.95,58.11,7.51
60,00:16.659,00:33.323,2,0.77,-38.1,51.61,3.38,0.91,-162.95,58.11,7.51
61,00:16.659,00:33.319,2,0.77,-0.78,95.16,3.38,0.91,-162.95,58.11,7.51
53,01:00.000,02:00.100,0,0.65,-120.42,12.32,2.5,0.32,-30,52.69,4.66
62,00:16.659,00:33.319,2,0.77,-0.78,95.16,2.14,0.5,-162.95,58.11,7.51
64,00:16.659,00:33.328,2,0.77,-0.78,72,7.12,0.5,-162.95,58.11,7.51
65,00:16.659,00:33.329,2,0.77,-0.78,72,4.86,0.79,-162.95,58.11,7.51
66,00:16.659,00:33.332,2,0.77,-0.78,72,4.86,0.03,-162.95,6.65,7.51
67,00:16.659,00:33.319,2,0.77,-1.74,72,4.86,0.03,-162.95,6.65,1.81
68,00:16.659,00:33.319,2,0.77,-1.74,55.76,4.86,0.03,-162.95,6.65,3.05
69,00:16.659,00:33.325,2,0.26,-1.74,55.76,4.86,0.03,-162.95,6.65,8.49
70,00:16.659,00:33.320,2,0.26,-1.74,55.76,4.75,0.03,-162.95,6.65,5.67
71,00:16.659,00:33.320,2,0.26,-1.74,55.76,6.99,0.03,-162.95,21.21,5.67
63,01:00.000,02:00.100,0,0.65,-120.42,79.74,2.5,0.32,-30,52.69,3.05
72,00:16.659,00:33.322,2,0.26,-1.74,55.76,6.99,0.03,-162.95,31.93,8.85
74,00:16.659,00:33.328,2,0.26,-1.74,31.45,6.99,0.06,-162.95,31.93,8.85
75,00:16.659,00:33.333,2,0.26,-1.74,98.15,6.99,0.06,-162.95,5.27,8.85
76,00:16.659,00:33.330,2,0.26,-1.74,98.15,4.2,0.95,-162.95,5.27,8.85
77,00:16.659,00:33.336,2,0.26,-119.37,98.15,4.2,0.95,-162.95,5.27,8.85
78,00:16.659,00:33.328,2,0.26,-119.37,98.15,8.22,0.85,-162.95,5.27,8.85
79,00:16.659,00:33.331,2,0.26,-119.37,98.15,8.22,0.39,-47.14,5.27,8.85
80,00:16.659,00:33.324,2,0.26,-119.37,98.15,8.22,0.48,-47.14,5.27,6.59
81,00:16.659,00:33.321,2,0.26,-119.37,98.15,8.22,0.71,-149.75,5.27,6.59
73,01:00.000,02:00.500,0,0.65,-120.42,79.74,2.5,0.32,-17.29,75.23,3.05
82,00:16.659,00:33.327,2,0.26,-119.37,98.15,8.55,0.81,-149.75,5.27,6.59
84,00:16.659,00:33.330,2,0.26,-119.37,98.19,8.55,0.85,-149.75,5.27,6.59
85,00:10.165,00:10.165,3,0.26,-119.37,98.19,8.55,0.85,-149.75,5.27,5.52
86,00:10.302,00:10.302,3,0.26,-119.37,98.19,8.55,0.01,-88.14,5.27,5.52
87,00:10.302,00:20.610,3,0.26,-119.37,98.19,8.55,0.01,-88.14,75.31,5.52
88,00:10.302,00:20.606,3,0.8,-119.37,98.19,8.55,0.01,-171.51,75.31,5.52
89,00:10.302,00:20.617,3,0.8,-119.37,93.16,8.55,0.01,-171.51,66.49,5.52
90,00:10.302,00:20.607,3,0.8,-119.37,93.16,7.97,0.01,-60.36,66.49,5.52
91,00:10.302,00:20.623,3,0.8,-119.37,93.16,7.97,0.01,-167.91,66.49,9.55
92,00:10.302,00:20.604,3,0.36,-119.37,93.16,7.97,0.01,-167.91,66.49,9.55
93,00:10.302,00:20.613,3,0.36,-119.37,16.9,7.97,0.01,-167.91,66.49,1.67
94,00:10.302,00:20.606,3,0.36,-119.37,16.9,7.97,0.01,-67.68,66.49,1.29
95,00:10.302,00:20.608,3,0.36,-119.37,16.9,7.97,0.01,-67.68,34.3,5.08
86,00:10.302,00:10.302,3,0.26,-119.37,22.57,8.55,0.85,-149.75,98.12,3.05
96,00:10.302,00:20.606,3,0.36,-119.37,16.9,7.97,0.01,-138.41,34.3,9.76
98,00:10.302,00:20.608,3,1,-119.37,16.9,7.97,0.01,-180.28,34.3,9.76
99,00:10.302,00:20.626,3,1,-119.37,16.9,7.97,0.01,-183.35,34.3,6.58
100,00:10.302,00:20.608,3,0.32,-119.37,16.9,7.97,0.48,-183.35,34.3,6.58
101,00:10.302,00:20.618,3,0.58,-119.37,16.9,7.97,0.48,-183.35,16.39,6.58
102,00:10.302,00:20.619,3,0.58,-119.37,16.9,7.67,0.48,-57.66,16.39,6.58
103,00:10.302,00:20.617,3,0.58,-58.59,16.9,7.67,0.48,-73.45,16.39,6.58
104,00:10.302,00:20.606,3,0.58,-161.74,16.9,7.67,0.48,-73.45,16.39,5.15
105,00:10.302,00:20.609,3,0.23,-161.74,16.9,3.81,0.48,-73.45,16.39,5.15
97,00:10.302,00:20.614,3,0.26,-119.37,22.57,9.62,0.6,-149.75,98.12,3.05
106,00:10.302,00:20.605,3,0.79,-161.74,16.9,3.81,0.73,-73.45,16.39,5.15
108,00:10.302,00:20.619,3,0.79,-145.75,39.66,3.81,0.73,-73.45,16.39,5.15
109,00:10.302,00:20.608,3,0.79,-145.75,50.27,3.81,0.73,-189.47,16.39,5.15
110,00:10.302,00:20.607,3,0.79,-145.75,16.37,3.81,0.73,-189.47,59.98,5.15
111,00:10.302,00:20.619,3,0.26,-145.75,77.67,3.81,0.73,-189.47,59.98,5.15
112,00:10.302,00:20.612,3,0.26,-145.75,77.67,1.56,0.73,-189.47,59.98,5.15
113,00:10.302,00:20.611,3,0.26,-145.75,77.67,1.56,0.73,-176.39,59.98,1.76
114,00:10.302,00:20.611,3,0.8,-145.75,77.67,1.56,0.73,-111.47,59.98,1.76
115,00:10.302,00:20.609,3,0.8,-145.75,44.46,1.56,0.73,-96.87,59.98,1.76
107,00:10.302,00:20.608,3,0.87,-119.37,22.57,9.62,0.6,-149.75,22.68,3.05
116,00:10.302,00:20.605,3,0.91,-145.75,11.54,1.56,0.73,-96.87,59.98,1.76
118,00:10.302,00:20.606,3,0.33,-145.75,11.54,1.56,0.73,-96.87,32.63,1.76
119,00:10.302,00:20.605,3,0.51,-158.41,11.54,1.56,0.73,-96.87,32.63,1.76
120,00:10.302,00:20.609,3,0.51,-158.41,11.54,1.56,0.73,-96.87,32.63,8.21
121,00:10.302,00:20.616,3,0.51,-158.41,11.54,1.56,0.62,-96.87,32.63,8.65
122,00:10.302,00:20.608,3,0.21,-158.41,11.54,1.56,0.62,-96.87,37.78,8.65
123,00:10.302,00:20.620,3,0.21,-158.41,71.56,1.56,0.62,-96.87,98.23,8.65
124,00:10.302,00:20.623,3,0.88,-158.41,71.56,1.56,0.45,-96.87,98.23,8.65
125,00:10.302,00:20.620,3,0.88,-134.37,71.56,1.56,0.45,-96.87,98.23,3.47
117,00:10.302,00:20.608,3,0.87,-119.37,22.57,2.21,0.6,-149.75,22.68,7.34
126,00:10.302,00:20.618,3,0.88,-134.37,93.54,1.56,0.45,-158.08,98.23,3.47
128,00:10.302,00:20.610,3,0.88,-134.37,93.54,1.56,0.45,-124.53,82.03,3.47
129,00:10.302,00:20.618,3,0.88,-105.09,93.54,1.56,0.45,-124.53,82.03,3.47
130,00:10.302,00:20.610,3,0.88,-105.09,93.54,1.56,0.86,-124.53,82.03,9.01
131,00:10.302,00:20.610,3,0.88,-105.09,89.34,1.56,0.86,-105.08,82.03,9.01
132,00:10.302,00:20.610,3,0.88,-105.09,2.9,1.56,0.86,-105.08,82.03,9.92
133,00:10.302,00:20.620,3,0.34,-105.09,2.9,1.56,0.86,-105.08,82.03,9.92
134,00:10.302,00:20.616,3,0.34,-156.59,2.9,1.56,0.86,-40.94,82.03,9.92
135,00:10.302,00:20.608,3,0.04,-156.59,2.9,9.56,0.86,-40.94,82.03,9.92
127,00:10.302,00:20.614,3,0.87,-58.84,22.57,2.21,0.55,-149.75,22.68,7.34
136,00:10.302,00:20.609,3,0.04,-84.82,2.9,9.56,0.4,-40.94,82.03,9.92
138,00:10.302,00:20.616,3,0.04,-84.82,24.73,8.09,0.4,-40.94,82.03,9.92
